Assignment 1,Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Date,Change,,grade,Source Points,Early/Late,Weighted Grade,ScanStringTestSuite:ScanString functions correctly,ScanningIteratorSuite:Scanning Iterator,MultipleTokenSuite:Can process multiple tokens,InvalidCharacterSuite:Handles Invalid Characters,TerminatesWithStartingPeriodSuite:Terminating period forms complete line,IndexOfNotTestSuite:IndexOfNot functions correctly,IndexOfTestSuite:IndexOf functions correctly,TerminatesWithPeriodLineSuite:Handles Space After Period,SingleTokenSuite:Can process a single token,VariableSpaceSuite:Handles Variable Spaces,Required Methods Called in Main or Iterator,IndexOf  Called in Iterator,indexOfNot Called in Main,IndexOfNot Called in Iterator,Iterator Methods Called in Main,Screenshots enclosed,Screenshots show tests,Illegal import or call,ScanStringTestSuite:ScanString functions correctly,ScanningIteratorSuite:Scanning Iterator,MultipleTokenSuite:Can process multiple tokens,InvalidCharacterSuite:Handles Invalid Characters,TerminatesWithStartingPeriodSuite:Terminating period forms complete line,IndexOfNotTestSuite:IndexOfNot functions correctly,IndexOfTestSuite:IndexOf functions correctly,TerminatesWithPeriodLineSuite:Handles Space After Period,SingleTokenSuite:Can process a single token,VariableSpaceSuite:Handles Variable Spaces,Required Methods Called in Main or Iterator,IndexOf  Called in Iterator,indexOfNot Called in Main,IndexOfNot Called in Iterator,Iterator Methods Called in Main,Screenshots enclosed,Screenshots show tests,Illegal import or call
0,Thu Sep 22 09:54:07 EDT 2016,38.0,,38.0,,0.8,30.4,0.0,0.0,0.0,0.0,5.0,5.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,,,,,
1,Thu Sep 22 10:00:54 EDT 2016,0.0,,38.0,,0.8,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Thu Sep 22 10:05:54 EDT 2016,0.0,,38.0,,0.8,30.4,0.0,0.0,0.0,0.0,5.0,5.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,,,,,
3,Thu Sep 22 10:22:56 EDT 2016,0.0,,38.0,,0.8,30.4,0.0,0.0,0.0,0.0,5.0,5.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,,,,,
4,Thu Sep 22 10:29:35 EDT 2016,0.0,,38.0,,0.8,30.4,0.0,0.0,0.0,0.0,5.0,5.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,,,,,
5,Thu Sep 22 10:30:46 EDT 2016,0.0,,38.0,,0.8,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Thu Sep 22 10:32:02 EDT 2016,-7.600000000000001,,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Thu Sep 22 11:18:03 EDT 2016,-10.799999999999997,,19.6,,0.8,16.0,0.0,0.0,0.0,0.0,5.0,1.0,3.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,,,,,
8,Thu Sep 22 11:18:52 EDT 2016,0.0,,19.6,,0.8,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
