Assignment 1,Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Date,Change,,grade,Source Points,Early/Late,Weighted Grade,ScanStringTestSuite:ScanString functions correctly,ScanningIteratorSuite:Scanning Iterator,MultipleTokenSuite:Can process multiple tokens,InvalidCharacterSuite:Handles Invalid Characters,TerminatesWithStartingPeriodSuite:Terminating period forms complete line,IndexOfNotTestSuite:IndexOfNot functions correctly,IndexOfTestSuite:IndexOf functions correctly,TerminatesWithPeriodLineSuite:Handles Space After Period,SingleTokenSuite:Can process a single token,VariableSpaceSuite:Handles Variable Spaces,3 Required Methods Called in Main or Iterator (max 15pts),indexOfNot Called in Main or Iterator (max 3pts),Iterator Methods Called in Main,Screenshots enclosed,Screenshots show tests,Illegal import or call,ScanStringTestSuite:ScanString functions correctly,ScanningIteratorSuite:Scanning Iterator,MultipleTokenSuite:Can process multiple tokens,InvalidCharacterSuite:Handles Invalid Characters,TerminatesWithStartingPeriodSuite:Terminating period forms complete line,IndexOfNotTestSuite:IndexOfNot functions correctly,IndexOfTestSuite:IndexOf functions correctly,TerminatesWithPeriodLineSuite:Handles Space After Period,SingleTokenSuite:Can process a single token,VariableSpaceSuite:Handles Variable Spaces,3 Required Methods Called in Main or Iterator (max 15pts),indexOfNot Called in Main or Iterator (max 3pts),Iterator Methods Called in Main,Screenshots enclosed,Screenshots show tests,Illegal import or call
0,Sat Sep 17 10:31:44 EDT 2016,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,,,
1,Sat Sep 17 10:33:44 EDT 2016,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sat Sep 17 10:58:08 EDT 2016,0.0,,0.0,,,0.0,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sat Sep 17 13:28:35 EDT 2016,12.6,,12.6,,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,10.0,0.0,0.0,0.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,,,
4,Sat Sep 17 13:53:31 EDT 2016,0.0,,12.6,,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,
5,Sat Sep 17 13:56:33 EDT 2016,0.0,,12.6,,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sat Sep 17 14:24:07 EDT 2016,0.0,,12.6,,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,
7,Sat Sep 17 14:27:02 EDT 2016,0.0,,12.6,,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
